type,name,location,desc,activities,amenities,accessability,lat,lon,lat_clean,lon_clean
naturepreserve,Shoreland Nature Preserve,Mequon,Shoreland Nature Preserve is located in Mequon along the Milwaukee River and owned by the City or Mequon. This 19 acre conservancy features walking trails along a private lake and through wooded trails to the river. Mostly made up of wetlands due to the low lying area along the river.,"Hiking, Bird Watching","Parking (limited street), Trail System",,43.24288049,-87.93652264,#VALUE!,#VALUE!
naturepreserve,Trinity Creek Wetland Habitat,Mequon,"Trinity Creek Wetland Habitat is an often overlooked gem of the Ozaukee County park system. This 35-acre restored stream and wetland system is designed to provide floodwater storage, improve water quality, and provide habitat for northern pike spawning. As if that wasn't reason enough to have this property restored, the area also provides invaluable habitat for the nearly 100 species of birds that use this wetland throughout the year.","Hiking, Bird Watching","Benches, Parking, Trail System, Pond",,43.19616326,-87.9788087,#VALUE!,#VALUE!
naturepreserve,Willow  Bay,Mequon,This site was donated to the City in 1987. Access is presently available only by means of a private access drive off Baehr Road which passes by five existing residences before reaching the site.,,Pond,,43.25004765,-87.93517913,#VALUE!,#VALUE!
park,Highland Woods,Mequon,"This 85 acre parcel was purchased by the Ozaukee Land Trust through generous private donations, City of Mequon funds from the land acquisition account, and a grant from the DNR.  The Ozaukee Land Trust turned the property over to the City in 1996 as a passive use nature and educational study area. An agreement between the OLT, City of Mequon, and the DNR governs the site.",Hiking,"Parking, Trail System",,43.24843369,-87.98557581,#VALUE!,#VALUE!
park,Virmond County Park,Mequon,"<p>Check out the magnificent overlooks and surprising features of this coastal county park, including the first engineered Chimney Swift chimney in Ozaukee.</p><p>George Virmond originally donated this woods and vacant land in 1944, with the request of developing a park for all to enjoy.</p><p>Many people are currently using this park for tennis, volley ball, baseball, soccer, children's playground and weddings. The park also has several excellent hiking trails through the nature preserve areas.</p>","Baseball, Cross-Country Skiing, Hiking, Playground, Tennis, Volleyball, Bird Watching","Benches, Garbage, Drinking Fountain, Parking, Picnic Benches, Picnic Shelter, Restrooms, Trail system",,43.21203394,-87.90153613,#VALUE!,#VALUE!
park,Garrison's Glen,Mequon,"This 22 acre park was acquired in 2006, named in memory of Garrison Adams, a former student of the Donges Bay School.","Canoe/Kayak, Hiking","Parking, Canoe/Kayak Launch, River",,43.28010819,-87.94012003,#VALUE!,#VALUE!
park,Katherine Kearney Carpenter Park,Mequon,This site was donated to the City in 1967 subject only to the conditions that it be used for public park purposes and that children and pets be given unrestricted access.,Hiking,"Parking, Trail System",,43.19925556,-87.91749637,#VALUE!,#VALUE!
park,Lemke Park,Mequon,,"Archery, Baseball, Playground, Volleyball","Electricity, Parking, Picnic Benches, Picnic Shelter, Portable Toilet, Trail system",,43.20510176,-88.03665353,#VALUE!,#VALUE!
park,Little Menomonee Site,Mequon,This site was purchased by the City in 1992 with funds from the land acquisition account as part of a plan to acquire property or easements along the Little Menomonee River for expansion of passive outdoor recreational activities and to implement non-point source pollution control.,Hiking,Parking,,43.22361805,-88.02733309,#VALUE!,#VALUE!
park,Mee Kwon Park,Mequon,"Mee Kwon County Park offers some wooded areas and hiking trails. Mostly known for the sledding hill and small pond for fishing, the hiking trails are not well publicized but can be found on the county's brochure.  The park itself was once being considered for a dog park, but restrictions dictate it must remain a park due to how it was purchased. Cross-country skiing is popular at Mee Kwon in winter and the trails are groomed for both stride and skate skiing.","Cross-Country Skiing, Hiking, Sledding, Snowshoe, Fishing","Parking, Trail System",,43.25882447,-87.98898897,#VALUE!,#VALUE!
park,Mequon Community Park,Mequon,,"Baseball, Playground, Swimming","Parking, Picnic Benches, Restrooms",,43.22446915,-87.98602753,#VALUE!,#VALUE!
park,River Barn Park,Mequon,,"Baseball, Canoe/Kayak, Fishing, Playground, Soccer","Parking, Trail System, Canoe/Kayak Launch, River",,43.19608367,-87.96586959,#VALUE!,#VALUE!
park,Riverview Park,Mequon,,"Baseball, Canoe/Kayak, Fishing, Hiking, Playground","Parking, Trail System, Canoe/Kayak Launch, River",,43.23291495,-87.96196088,#VALUE!,#VALUE!
park,Rotary Park,Mequon,"<p>This site was purchased by the City in 1989 with generous donations from the Rotary Club for the specific purpose of creating a multiple use community park. An approved landscaping and phased development plan governs the site.</p><p>Located at 4100 W Highland Road east of MATC in Mequon, WI.</p><p>On the North end of the Rotary Park is Pukaite Woods Nature Preserve which features Loyal Wells Nature Trail (Handicapped Accessible), observation deck, meadow area, oak savannah area.</p>","Baseball, Basketball, Hiking, Playground, Soccer","Benches, Electricity, Garbage, Drinking Fountain, Parking, Picnic Benches, Picnic Shelter, Rest Rooms, Trail System","Playground, Restrooms, Trail",43.25491439,-87.96041579,#VALUE!,#VALUE!
park,Scout Park,Mequon,,"Canoe/Kayak, Fishing","Parking (limited), Canoe/Kayak Launch",,43.235752,-87.95010813,#VALUE!,#VALUE!
park,Thiensville Village Park,Mequon,The Village Park and its riverside setting is considered one of Thiensville's crown jewels.,"Baseball, Biking, Canoe/Kayak, Fishing, Hiking, Playground, Tennis","Parking, Picnic Benches, Picnic Shelter, Restrooms, Canoe/Kayak Launch",,43.23237786,-87.97743639,#VALUE!,#VALUE!
park,Villa Grove Park,Mequon,This community park is located in Mequon South of Freistadt Rd. on Villa Grove Rd.  The park is bordered on the South side by the Milwaukee River and has a small parking lot with a canoe/boat launch.  Great views of the river can be seen with lots of wildlife around.,"Bird Watching, Canoe/Kayak, Fishing","Parking, Boat Launch, Canoe/Kayak Launch",,43.23575137,-87.95548109,#VALUE!,#VALUE!
naturepreserve,Center Lane Preserve,Newburg,"<p>This 60 plus acres parcel was purchased by OWLT from Ed and Janet Beimborn in 2017. This land has been in and out of the Beimborn family's hands for over 120 years. The family cabin serves as a reminder of those days.</p><p>The Beimborns considered their land a very special place, viewed their ownership as temporary, and regarded themselves primarily as stewards of this land. They felt that moving the land to the land trust would be the best way to guarantee that the land would continue to be preserved and protected. It also made it available to others who love woods, waters, and open spaces to enjoy it as their family had done for so long.</p><p>The land is part of the Cedar Sauk Woodlands. The water here is part of the headwaters of Cedar Creek.</p>","Hiking, Bird Watching",,,43.41139026,-88.0245833,#VALUE!,#VALUE!
naturepreserve,County Line Conifer Swamp Preserve,Newburg,"<p>Purchased from the Kinnamon family in 2017 with funding from WDNR Knowles Nelson Stewardship Fund and MMSD’s Greenseams program.</p><p>This preserve protects the headwaters of Cedar Creek. It includes a high-quality prairie established in 1972 by the former owners David and Karen Kinnamon. At that time there were no local seed sources, so for several years, the Kinnamons collected prairie seed from native prairie remnants located south of Kenosha, near Avoca along the Wisconsin River, and along bluffs overlooking the Mississippi River.</p><p>The pond and wetlands are part of a larger wetland complex that extends through Center Lane Preserve and beyond.</p>","Hiking, Bird Watching",,,43.40931224,-88.04088646,#VALUE!,#VALUE!
park,"Francis ""Fitz"" Falkner Park",Newburg,,,,,43.43384643,-88.0489399,#VALUE!,#VALUE!
park,Newburg Fireman's Park,Newburg,,,,,43.43373465,-88.04493932,#VALUE!,#VALUE!
naturepreserve,Birchwood Hills Nature PReserve,Port Washington,   ,"Hiking, Bird Watching",,,43.40908449,-87.862964,#VALUE!,#VALUE!
naturepreserve,Cedar Gorge/Clay Bluffs Preserve,Port Washington,"<p><em>Not open to the public yet</em></p><p>Cedar Gorge/Clay Bluffs Nature Preserve is the newest addition to the many treasures of Oz. The Ozaukee Washington Land Trust acquired it on August 25th after more than ten years of community-supported effort. OWLT immediately placed a conservation easement on the 100+ acre preserve and turned it over to Ozaukee County Planning and Parks for use as a county park, much as was done in creating Lion’s Den Gorge Nature Preserve, which lies just to the south.</p><p>Ozaukee County Planning and Parks describe the property as such:</p><p>The property includes a primary environmental corridor (a critical species habitat site and a natural area). It had been identified for protection by Ozaukee County in the adopted and certified Park and Open Space Plan for Ozaukee County: 2035 as part of a priority project area known as the Lion’s Den Gorge Project Area. In addition, it has been identified for protection as part of the Multi‐jurisdictional Comprehensive Plan for Ozaukee County: 2035.</p><p>The property includes: 1.25 miles of Lake Michigan shoreline, 93 acres of a primary environmental corridor, 5 acres of wetlands, 41 acres of woodland, “high” groundwater recharge areas, and importantly an identified locally significant Natural Area‐3, critical species habitat site known as the Port Washington Clay Banks (35 acres) and a locally significant, NA‐3, natural area known as Cedar Heights Gorge (9 acres).</p><p>It is a significant property on the International Lake Michigan Migratory Bird Flyway and part of two Important Bird Areas identified by the State. The property provides a unique recreational opportunity to provide a site on the Federal/State designated Lake Michigan Water Trail and a direct connection to the Ozaukee Interurban Trail via an off‐road trail. It borders and enhances the recently designated NOAA Wisconsin Shipwreck Coast National Marine Sanctuary.</p><p>Finally, it complements the existing Lion’s Den Gorge Nature Preserve County Park, which continues to be one of the most popular County Parks and has received many accolades for its passive use recreational development.</p>",,,,43.36074134,-87.88178964,#VALUE!,#VALUE!
naturepreserve,Sauk Creek Nature Preserve,Port Washington,"The Sauk Creek Nature Preserve is a 27-acre natural area in Port Washington. The creek runs north and south over limestone bedrock ledges, and eventually flows into Lake Michigan near the Port Washington Marina. Floodplain forest runs along Sauk Creek and a series of wetland/spring seeps discharge water into the creek. Higher land on the eastern half of the property is predominately old agricultural fields, abandoned over 20 years ago and now being colonized by a second growth forest. Trails connect the preserve to local neighborhoods and a bridge allows easy access to the creek. CreekThe land is a valuable wildlife corridor, and an outstanding resource for community education and recreation.","Hiking, Bird Watching",Parking (limited street) Trail System,,43.39490587,-87.88237552,#VALUE!,#VALUE!
park,Antoine Park,Port Washington,,"Basketball, Playground","Drinking Fountain, Parking (limited street), Picnic Benches",,43.40523262,-87.86413619,#VALUE!,#VALUE!
park,Kolbach Park,Port Washington,,"Baseball, Basketball, Pickleball, Playground","Benches, Drinking Fountain, Picnic Benches, Parking (limited street)",,43.39995516,-87.87662376,#VALUE!,#VALUE!
park,Coal Dock Park,Port Washington,"<p>The Ozaukee County clay bluffs south of the coal docks are a unique geological feature. Water action from Lake Michigan erodes the glacial deposits along the shoreline to create spectacular views of Lake Michigan from steep-sided bluffs that are often over 100 feet above the lake. In places, steep ravines lined with cedar trees are cut by small streams through the bluffs, providing wildlife habitat and a quiet respite from the crashing waves.</p><p>The eroded face of the bluffs provides a fascinating glimpse of the recent glacial activity that not only deposited the soil but carved Lake Michigan itself. Evident are the glacial tills, the mass of rocks and ground material picked up by the glaciers and deposited as they melted. Between the tills are sandy outwash layers deposited by meltwater streams in front of the receding glaciers. Together these deposits paint a picture of the glacier’s activity.</p><p>The glacial materials in the bluffs and on the beaches provide wildlife habitat and hours of interest for visitors walking the beach. Bank swallows and kingfishers nest in cavities they excavate in the soft sandy outwash deposits. Wetlands form on steep slopes from the springs and seeps along the bluffs. Rocks of all types and colors, carried and smoothed by the glacier, cover portions of the beach and provide hours of pleasant distraction. Walk along the beach, with the timeless sound of waves and gulls, Lake Michigan stretching endlessly east and the glacial bluffs hiding most traces of civilization, and it’s easy to believe you are walking in a world almost untouched by humans.</p>","Hiking, Bird Watching",Parking (limited street) Trail System,,43.38549821,-87.86702023,#VALUE!,#VALUE!
park,Port Washington Marina,Port Washington,,"Canoe/Kayak, Bird Watching","Parking, Canoe/Kayak Launch, Lake Michigan",,43.38796206,-87.86680565,#VALUE!,#VALUE!
park,South Beach Kayak and Conoe Launch,Port Washington,"This is the newest kayak launch site in the county.  It is directly south of the WeEnergies Power Plant at the south end of Port Washington.  There is plenty of parking, picnic tables and a very short carry to the sandy beach.","Canoe/Kayak, Swimming","Parking, Picnic Benches",,43.38282428,-87.87020504,#VALUE!,#VALUE!
park,Upper Lake Park,Port Washington,"Upper Lake Park In the City of Port Washington is known for its spectacular, unobstructed views of Lake Michigan. It is only 83 steps from Upper Lake Park to the North Beach via the new stairway that links the two. It is a favorite place for walking and is home to Possibility Playground, one of the best playgrounds in the county. There is plenty of parking.","Baseball, Biking, Hiking, Mountain Biking, Playground","Parking, Picnic Benches, Picnic Shelter, Garbage",Playground,43.39319438,-87.86584573,#VALUE!,#VALUE!
park,Rotary Park,Port Washington,,"Hiking, Bird Watching","Benches, Garbage, Parking, Picnic Benches, Picnic Shelter, Trail System, Lake Michigan",,43.38744049,-87.86779926,#VALUE!,#VALUE!
naturepreserve,Port Washinton Avian Sanctuary,Port Washington,,Bird Watching,Trail System,,43.38386283,-87.86758948,#VALUE!,#VALUE!
naturepreserve,Veterans Memorial Park,Port Washington,,"Playground, Swimming","Benches, Drinking Fountain, Parking, Picnic Benches, Picnic Shelter, Restrooms, Lake Michigan",,43.39201847,-87.86627356,#VALUE!,#VALUE!
naturepreserve,Blue Heron Wildlife Sanctuary,Saukville,"Blue Heron is a 90-plus acre wildlife sanctuary, which was once a farm, and has been dedicated to protecting native wildlife and plants. The property is on the west bank of the Milwaukee River, contains a pond and a number of streams, and is open to the public during daylight hours. Members of the public are welcome to walk Blue Heron's trails, take a boardwalk to the pond (north and west of the log-cabin-style visitor center, picnic along the Milwaukee River (follow the trail from the parking lot down to the River), or snowshoe or cross-country ski in the winter. Enjoy the scenery and the diverse plants and animals.","Cross-Country Skiing, Hiking, Bird Watching","Parking, Picnic Benches, Portable Toilet",,43.42309357,-87.95494739,#VALUE!,#VALUE!
naturepreserve,Cedarburg Bog State Natural Area,Cedarburg,"<p>Cedarburg Bog is the most intact large bog in southeastern Wisconsin and composed of a mosaic of vegetation types. Once part of a large glacial lake, the bog is a relict community - a southern example of the type more commonly found in northern Wisconsin. There are six lakes remaining within the bog, all with varying sizes and depths. The 245-acre Mud Lake is the largest, followed by the 34-acre Long Lake. Surrounding the lakes are areas of emergent aquatic vegetation while just outside this zone is a successional shrub-carr area. Most unusual is a string or ""patterned"" bog, unique here because it lies far south of its usual range in North America. It is composed of ridges of stunted cedar and tamarack that lie in an open flat sedge mat. The meadow vegetation consists of narrow-leaved sedges, pitcher plant, bogbean, water horsetail, arrow-grass, orchids, and the insectivorous sundew and bladderwort. A conifer-swamp hardwood forest is adjacent to the bog. There is a very diverse flora and fauna; many that are more common in northern boreal forests and that are at their southern range limit here.</p><p>The Cedarburg Bog was designated a State Natural Area in 1952: it was the second property in the state added to this program. It is currently owned primarily by the DNR and the University of Wisconsin, with some private inholdings. The Cedarburg Bog is:</p>","Hiking, Bird Watching","Parking, Trail System, Boardwalk",,43.39051702,-88.0076088,#VALUE!,#VALUE!
naturepreserve,Shady Lane Natural Area,Fredonia,"<p>The natural area is part of a 62.5-acre property south of Shady Lane in the Town of Fredonia acquired by Ozaukee County in a tax foreclosure more than 10 years ago. It is located immediately north of Hawthorne Hills and includes more than 1,600 feet of frontage on the west bank of the river.</p><p><strong>Rich in wildflowers</strong></p><p>The property is a natural area of regional significance because of the variety of plants - 75 species of trees, shrubs and wildflowers - and limited disturbance of the woods, according to Don Reed, chief biologist at the Southeastern Wisconsin Regional Planning Commission. The forest canopy is dominated by large sugar maple, beech, red oak and basswood.</p><p>""There is a rich set of spring wildflowers: white trillium, trout lily, jack-in-the-pulpit, wood anemone, bloodroot and buttercups,"" Reed said. An uncommon flower blossoming here is goldenseal, a buttercup. Indian pipe, also known as ghost plant because it lacks chlorophyll, grows here.</p>","Hiking, Bird Watching","Parking, Trail System",,43.45214825,-87.97299352,#VALUE!,#VALUE!
naturepreserve,Shannon Preserve,Saukville,"Located in the Town of Saukville, Shannon Preserve is 34 acres in size. It was acquired by the land trust in 2010. The surrounding area is known for its wetlands, which include the Cedarburg Bog, the first-named State Natural Area in Wisconsin. An unnamed creek on this property connects the wetlands here to a lake in the Cedarburg Bog This preserve contains a variety of wetland habitats, including cattail marshes, shrub carr, lowland hardwood forest, fresh (wet) meadows, and upland meadows.","Hiking, Bird Watching",,,43.40977294,-88.00644266,#VALUE!,#VALUE!
other,Riveredge Nature Center,Saukville,"Riveredge Nature Center has over 10 miles of trails. These trails traverse ponds, creeks, the Milwaukee River, forests, fens, wet meadows and prairies. The Riveredge Nature Center’s sanctuary is a unique ecological area for its biodiversity and continual maintenance and control of invasive species. It is a jewel in the landscape of Ozaukee County. It adds to the vitality of the community by providing ongoing recreational opportunities for adults, families and children. Containing roughly 380 acres of various habitats, the sanctuary serves as a resource for scientific research and provides opportunities for citizen scientists to expand their horizons.","Hiking, Snowshoe, Cross-Country Skiing, Bird Watching","Benches, Parking, Restrooms, Trail System, Board Walk, Observation Deck, Education Center",,43.43925643,-88.02363459,#VALUE!,#VALUE!
other,UWM Field Station,Saukville,"<p>The UWM Field Station invites researchers and instructors to use its research and educational facilities.</p><p>Our property is adjacent to the Cedarburg Bog State Natural Area, so we have almost 2000 acres of undisturbed, high-quality natural communities available for teaching and research.</p>",,,,43.38725081,-88.02271349,#VALUE!,#VALUE!
naturepreserve,Hames Nature Preserve,Waubeka,"This preserve contains lowland forest, floodplain forest and wetlands all located along the Milwaukee River. Specifically, the woods contain silver maple, aspen, willow, box elder and, occasionally, fir, spruce and cedar. Visit this preserve to bird watch or fish.",,,,43.47504409,-87.98794515,#VALUE!,#VALUE!
park,Tendick Nature Park - West,Saukville,"The newest park to the Ozaukee County Park System features plenty of amenities including a pavilion, canoe/kayak launch into Milwaukee River, archery range, disc golf, a boardwalk through the wetlands, grills, parking and restrooms.","Cross-Country Skiing, Disc Golf, Hiking, Volleyball, Bird Watching","Drinking Fountain, Parking, Picnic Benches, Picnic Shelter, Restrooms, Trail System, Boardwalk",,43.41785332,-87.95453596,#VALUE!,#VALUE!
park,East Riverside Park,Saukville,,"Archery, Hiking","Trail System, Milwaukee River",,43.37477867,-87.94113942,#VALUE!,#VALUE!
park,Ehlers Park,Saukville,"Ehlers Park is located near the intersection of Minch Ranch Road and CTH 'W' in the Town of Saukville. This 10 acre park has approximately 2,200 feet of Milwaukee River shoreline. The park is open to the public year round, with daily hours from 6:00 AM to 9:00 PM. There is an abundant amount of open space for many leisure activities like fishing, kite flying, frisbee, or just soaking up the sun on a blanket. Dogs and cats are welcome, if on a leash and cleaned up after.",Canoe/Kayak,"Parking, Picnic Benches, Portable Toilet, Canoe/Kayak Launch",,43.41019924,-87.94100766,#VALUE!,#VALUE!
park,Grady Park,Saukville,,"Baseball, Basketball, Playground, Tennis, Volleyball","Parking, Picnic Benches, Picnic Shelter, Rest Rooms",,43.38313146,-87.94146716,#VALUE!,#VALUE!
park,Hawthorne Hills County Park,Saukville,"Hawthorne Hills Park is located at 4880 HWY I. The park has many hiking trails marked by color.  Located next to the Milwaukee River, birdwatchers may see eagles and other birds of prey. There are a few picnic tables and grills for cook outs. Dogs allowed on leash. Park is 286 acres. Cross country ski trails are groomed for both stride and skate skiing when there is enough snow to ski.","Hiking, Cross-Country Skiing",Trail System,,43.45222253,-87.9770474,#VALUE!,#VALUE!
park,Peninsula Park,Saukville,,"Baseball, Fishing","Portable Toilet, Milwaukee River",,43.38083942,-87.93566783,#VALUE!,#VALUE!
park,Quade Park,Saukville,,"Baseball, Basketball, Playground, Sledding, Tennis","Parking, Picnic Benches, Picnic Shelter, Portable Toilet",,43.37591534,-87.95363303,#VALUE!,#VALUE!
park,Schowalter Park,Saukville,,"Baseball, Horseshoe Pits, Soccer","Parking, Portable Toilet, Pond",,43.39216919,-87.93503366,#VALUE!,#VALUE!
park,Tendick Nature Park - East,Saukville,"The newest park to the Ozaukee County Park System features plenty of amenities including a pavilion, canoe/kayak launch into Milwaukee River, archery range, disc golf, a boardwalk through the wetlands, grills, parking and restrooms.","Archery, Canoe/Kayak","Parking, Canoe/Kayak Launch",,43.41723733,-87.95143245,#VALUE!,#VALUE!
park,West Riverside Park,Saukville,,Playground,"Portable Toilet, Milwaukee River",,43.37670005,-87.94256082,#VALUE!,#VALUE!
wpa,Armin O. Schwengel Waterfowl Production Area,Belgium,"<p>The <strong>Armin O. Schwengel Waterfowl Production Area (WPA)</strong> is a 278-acre preserve located at the junction of Six Mile and Jay Roads in Ozaukee County. Considered the county’s premier grassland habitat, this site provides refuge for bobolinks, meadowlarks, shorebirds, marsh birds, and ducks throughout the year. Short-eared owls are also frequent winter visitors.</p> <p>The property is named after <strong>Armin O. Schwengel</strong>, a local conservationist who dedicated more than 55 years to wetland and wildlife restoration across southeastern Wisconsin. A graduate of Port Washington High School in 1935, Schwengel attended both the University of Wisconsin–Madison and Michigan State University, studying under the renowned ecologist Aldo Leopold, often called the father of modern conservation.</p> <p>Over his career, Schwengel helped shape the landscape of Wisconsin’s conservation lands. Hired by the Wisconsin Conservation Corps in 1941 and later serving as game manager for southeastern Wisconsin, he persuaded farmers to sell thousands of acres of wetlands and floodplain forests, leading to the creation of the <em>Theresa</em>, <em>Allenton</em>, and <em>Jackson State Wildlife Areas</em>. He also assisted the U.S. Fish & Wildlife Service in acquiring more than 500 acres of farmland in Ozaukee County and worked with private landowners to restore more than 600 acres of drained wetlands.</p> <p>Schwengel retired from the Wisconsin DNR in 1982 after 41 years of service but returned in 1989 to continue wetland restoration work in Ozaukee County. When asked about his lifelong dedication, he remarked, “I wanted to leave some of this here before I leave, you know. It’s all here for future generations.”</p> <p>His remarkable legacy—over <strong>10,400 acres</strong> of wetlands and grass-covered hills now thriving across southeastern Wisconsin—stands as a testament to his vision and persistence. To honor his achievements, the <strong>U.S. Fish & Wildlife Service</strong> named this 280-acre wildlife area after him, ensuring his name endures alongside the habitats he worked tirelessly to protect.</p>","Hiking, Bird Watching",Parking,,43.51966133,-87.88177832,#VALUE!,#VALUE!
wpa,Belgium Waterfowl Production Area,Belgium,,Bird Watching,,,43.52053887,-87.84360983,#VALUE!,#VALUE!
wpa,Cedar Grove WPA,Belgium,"<p>The <strong>Cedar Grove Waterfowl Production Area (WPA)</strong> is a 115-acre site located in the Town of Belgium, designated in 1993 as part of the Leopold Wetland Management District. It is one of six such sites in Ozaukee County owned by the U.S. Fish & Wildlife Service, created primarily to preserve and improve breeding habitat for waterfowl in Wisconsin.</p> <p>The Leopold Wetland Management District is named after <strong>Aldo Leopold</strong>, widely recognized as the father of wildlife conservation in America. Leopold is best known as the author of <em>A Sand County Almanac</em>, a collection of essays reflecting on his farm in central Wisconsin and his philosophy of a land ethic. In his spirit, the District is dedicated to preserving, restoring, and enhancing wildlife habitat across Wisconsin for the benefit of present and future generations.</p> <p>Wetlands within WPAs are restored and managed to support migratory birds and other wildlife, while uplands are reestablished as native grasslands planted with prairie grasses and forbs to provide essential nesting habitat. These combined habitats embody Leopold’s vision of conservation and coexistence between people and the land. (Source: Leopold Wetland Management District, U.S. Fish & Wildlife Service)</p>",,,,43.54179237,-87.83186959,#VALUE!,#VALUE!
park,Harrington Beach State Park,Belgium,"Located in Belgium, Wisconsin. Harrington Beach State Park has more than a mile of beach along Lake Michigan. This 715-acre park also features a white cedar and hardwood swamp, old field grasslands with restored wetland ponds and a scenic limestone quarry lake. Camp, sunbathe, picnic, hike, bird watch, fish or practice astronomy. An observatory is open to the public for monthly viewings.","Biking, Camping, Canoe/Kayak, Cross-Country Skiing, Hiking, Horseback Riding, Playground, Swimming, Bird Watching","Canoe/Kayak Launch, Parking, Picnic Benches, Picnic Shelter, Trail Systems, Lake Michigan",,43.49295789,-87.80361736,#VALUE!,#VALUE!